Cedula;Email;Apellido;Nombre;Max Carga;Materias
25904593;JMEDINA@UNIMET.EDU.VE;MEDINA;JULIA;2;['BPTSP04']
8947001;VBRAVO@UNIMET.EDU.VE;BRAVO;VICENTE;1;['FPTSP20']
1477473;AMOYA@UNIMET.EDU.VE;MOYA;ANDREA;2;['FPTSP17', 'FPTSP19']
9546578;PCRESPO@UNIMET.EDU.VE;CRESPO;PAULA;3;['FBTSP04', 'FPTSP04']
27514241;RFERRER@UNIMET.EDU.VE;FERRER;RUBEN;4;['BPTSP05', 'FBTSP04', 'FPTSP04', 'FPTSP07']
30839944;EVAZQUEZ@UNIMET.EDU.VE;VAZQUEZ;ENRIQUE;3;['FBTSP04', 'FPTPS07', 'FPTSP07']
1048200;RGIL@UNIMET.EDU.VE;GIL;ROSARIO;1;['FPSSP02', 'FPTSP15']
12578821;RCALVO@UNIMET.EDU.VE;CALVO;RAMON;3;['BPTSP03', 'FPTSP15', 'FPTSP21']
10808595;EPASCUAL@UNIMET.EDU.VE;PASCUAL;ENRIQUE;2;['FPSSP03', 'FPTSP11']
16437847;TMORALES@UNIMET.EDU.VE;MORALES;TERESA;2;['FBTSP04']
25270312;SCABALLERO@UNIMET.EDU.VE;CABALLERO;SERGIO;2;['FBTSP04']
24827705;ICASTRO@UNIMET.EDU.VE;CASTRO;ISABEL;4;['FBTSP04', 'FPTSP01']
12615495;LRUIZ@UNIMET.EDU.VE;RUIZ;LUIS;1;['FBTSP04']
31577698;ASANTIAGO@UNIMET.EDU.VE;SANTIAGO;ADRIAN;3;['FBTSP04']
12040570;JLOZANO@UNIMET.EDU.VE;LOZANO;JOAQUIN;2;['FBTSP04', 'FPSSP04', 'FPTSP18']
2441340;MGIMENEZ@UNIMET.EDU.VE;GIMENEZ;MARIO;2;['FPTSP01', 'FPTSP26']
2017881;CHERNANDEZ@UNIMET.EDU.VE;HERNANDEZ;CARMEN;2;['BPTSP03']
30970090;IORTEGA@UNIMET.EDU.VE;ORTEGA;IVAN;1;['FPTSP14']
20918224;PPARRA@UNIMET.EDU.VE;PARRA;PILAR;1;['BPTSP05']
18011276;JVELASCO@UNIMET.EDU.VE;VELASCO;JUAN;2;['FPTSP15']
27403427;IVARGAS@UNIMET.EDU.VE;VARGAS;IVAN;3;['FBTSP03']
6207924;JIBANEZ@UNIMET.EDU.VE;IBAÑEZ;JUANA;1;['FBTSP03']
11079901;MNAVARRO@UNIMET.EDU.VE;NAVARRO;MARINA;1;['FPTSP22']
16326333;PMEDINA@UNIMET.EDU.VE;MEDINA;PILAR;2;['BPTSP04']
27784103;JPARDO@UNIMET.EDU.VE;PARDO;JULIA;3;['FPTSP17', 'FPTSP19', 'FPTSP20', 'FPTSP23']
31716463;ALEON@UNIMET.EDU.VE;LEON;ANTONIO;3;['FBTSP04']
18158477;RGALLEGO@UNIMET.EDU.VE;GALLEGO;RAUL;1;['FPSSP01', 'FPTSP27']
17915618;MPEREZ@UNIMET.EDU.VE;PEREZ;MARIA;1;['FPSSP01']
18966035;MMARTIN@UNIMET.EDU.VE;MARTIN;MARTA;1;['FGESP05']
26580983;CRIVERA@UNIMET.EDU.VE;RIVERA;CARMEN;2;['BPTSP05', 'FPTSP28']
3711954;AIGLESIAS@UNIMET.EDU.VE;IGLESIAS;ALICIA;1;['FGESP05']
24703671;VALONSO@UNIMET.EDU.VE;ALONSO;VICTOR;2;['BPTSP05', 'BPTSP06']
1241499;IDURAN@UNIMET.EDU.VE;DURAN;IRENE;3;['BPTSP05', 'FBTSP04', 'FGESP04', 'FGESP06']
22296416;JRAMIREZ@UNIMET.EDU.VE;RAMIREZ;JORGE;1;['FBTSP03']
6503596;DCANO@UNIMET.EDU.VE;CANO;DIEGO;1;['FBTSP03']
16125737;IDIEZ@UNIMET.EDU.VE;DIEZ;IVAN;1;['FPTSP14']
7561372;FGARRIDO@UNIMET.EDU.VE;GARRIDO;FRANCISCA;1;['FGESP07']
16251508;MDOMINGUEZ@UNIMET.EDU.VE;DOMINGUEZ;MERCEDES;2;['BPTSP05', 'FBTSP04']
16816555;HCANO@UNIMET.EDU.VE;CANO;HUGO;1;['FBTSP04']
30473550;FCARMONA@UNIMET.EDU.VE;CARMONA;FERNANDO;1;['FPSSP02']
17081682;ENIETO@UNIMET.EDU.VE;NIETO;ELENA;1;['BPTSP04']
22339870;JMORENO@UNIMET.EDU.VE;MORENO;JESUS;1;['FPTSP27']
